address,total_allocated,already_claimed,available_to_claim,total_remaining,frozen
0x77fbf90a226075b01faf5f58978b0d4ec4ec7a31,111731.84,25074.76882,1616.726295,85040.34489,
0x4d52dc7b802965ec7843c1910f37768a4054dbff,111731.84,20814.67442,5876.820693,85040.34489,
0x49e5e07833b41c61ccffc3b9ff87704774056dae,100558.66,19437.57583,4584.770721,76536.31344,
0x52b39e2ec34872c944b194c1d37233bc7aa8d90b,100558.66,23464.05621,558.2903443,76536.31344,
0x2d417e42f8bd9f9c1097480d5d3f297721763c37,100558.66,23234.63112,787.7154393,76536.31344,
0xca812062a44c5781443c5721a3fb7da380c14391,100558.66,23244.54842,777.7981357,76536.31344,
0x2f5fcac9f7c42885812d29997b0f9e0aa53a220f,100558.66,15059.81134,8962.535219,76536.31344,
0xb9d5022abc6e453e36d5b3921fbb021278c025bc,100558.66,23442.35389,579.9926609,76536.31344,
0xf88d5fde8ea2a54c1b88dd1f279f050db7b5d138,89385.47,17665.21017,3687.985442,68032.27439,
0x707d707a2e6c71c54330cd66246ec81358147e64,80446.92,18609.96122,607.9141136,61229.04467,
0x6cf964732cdc31dd172a4f2c27634fed9282f548,78212.28,17424.36356,1259.681109,59528.23533,
0x3c0db86dfc5e6cd436ba511c794f651bf01b041a,78212.28,17797.88583,886.1588379,59528.23533,
0x5a168ccbc4754fbaf66a2f1d5d3e28acf45a542b,72625.7,13269.53955,4079.933226,55276.22722,
0x76fa8e4bb7a823541464b31869da9c700b9a4e0a,70391.06,12684.36406,4131.278047,53575.41789,
0x3f9c8d33bd0c02fa58bd02b56e3b98660ae93b6e,67039.11,0,16014.8985,51024.2115,
0xfbebce4fe12de7562f6abc44f3e89ca6da63d065,67039.11,0,16014.8985,51024.2115,
0xc8b74cbb810239143b4cb378a1d465c83ea93aa2,67039.11,15493.51853,521.3799669,51024.2115,
0xd7c26f917461934069fb05e7540db7de6eab2d66,67039.11,12569.17028,3445.728225,51024.2115,
0xac0416cf0a74c1df5ac91a6cb8ed09a461392cb2,67039.11,10486.00642,5528.892079,51024.2115,
0x7df6a31dbc1d90bb7f5404ddda29d962d67a631c,67039.11,15655.15773,359.7407716,51024.2115,
0x75a8b4deef265b61df6f765ca3c2bcc160fc627f,67039.11,0,16014.8985,51024.2115,
0x61c0069b5fe5d46b1b10a8bd4d3ee9d69b619fdf,67039.11,7826.591656,8188.306844,51024.2115,
0x2754873bc9ca527fd04fc6ef1097acebebfe4f2a,67039.11,14319.27411,1695.624386,51024.2115,
0x007269e365a6f8b8ee4545014ff7a01eb73f64ea,67039.11,15660.80538,354.0931234,51024.2115,
0xfce442a3cc382bb80912bed34b0ad0ef14bb4d9a,55865.92,12971.52141,374.2261453,42520.17244,
0x571d781ad352b8b3247b6892b25e926e49ed8acf,55865.92,13066.09054,279.6570203,42520.17244,
0x2e77a12ced12bbf785c5d796c00a9cf19eb6be50,55865.92,0,13345.74756,42520.17244,
0x679744463c49670803c73f6698c79a1851640484,55865.92,10191.40938,3154.338176,42520.17244,
0x3f0f0dd4352ad0735fc4d93f891dcc36de0f0aef,49162.01,11412.37271,331.8852323,37417.75206,
0x04088777cb7768a5bd0af81989d7c8dbaf8f0581,44692.74,0,10676.599,34016.141,
0xa670ebdaaa258311a7c33a5bf795f07b97c83430,37206.69,8626.687062,261.5777711,28318.42517,
0xeefbabf3b1d397fe5f3dee43444c168b588103f1,33519.55,7594.515432,412.9326234,25512.10194,
0x56e3449564e91903b352d27b74f6a8702f75848f,33519.55,7839.997291,167.4507642,25512.10194,
0x66f9a3ae4151053f0242a128efb264a27ddec174,33407.82,0,7980.757,25427.063,
0x5f3ecd7953e483fc0b2b7d523ea513f2e2dd3b8a,22346.37,4288.356576,1049.942924,17008.0705,
0x08adaa8101df6b33af27a67b739ec42a38c168af,22346.37,0,5338.2995,17008.0705,
0x00a4dfabca13bba5d1d15db62968918335ff5595,162011.17,0,38702.66839,123308.5016,
0x489c4f7b2cdc1c044303c93c0eb99b419b677858,95000,22010.99906,683.4453847,72305.55556,
0x65d74c4b247a969adad2a585c8a4323953733b03,95000,21971.22546,723.218984,72305.55556,
0x21453911eb364c7df9291d2f427fd04fa7234667,86000,18036.2906,2508.15384,65455.55556,
0x81ec139d2efbbdbd2e7ca62f5d1c4bb545a36679,16006256.98,3743696.796,80020.1492,12182540.03,
