address,total_allocated,already_claimed,available_to_claim,total_remaining,frozen
0xea24876090a92eb87f84d695bd0c1896a90c5847,39215.69,28457.74545,580.5392861,10177.40526,
0x9420c36d10b282585e5766b2a751968d642a8467,37647.06,27327.43082,549.3207546,9770.308429,
0x198923375eeb03a5577dee2ba97144d5c80a1de6,31372.55,20996.21322,2234.413086,8141.92369,
0x165b8b7d9f957beff182a942bea9fc6bba909e75,31372.55,21736.85317,1493.773138,8141.92369,
0x03b2368a420272047300835f3b22dd629e57a817,31372.55,18129.14918,5101.477125,8141.92369,
0x6eebf44f7010f6e1a11a3baf6198379d1934349a,29019.61,19148.23798,2340.092284,7531.279738,
0xf9f1daa79f2beef4c50216f47116f9d032b69550,26117.65,18976.27436,363.223617,6778.152024,
0x99cf9e45b01c66a629eff72e20555b896179c125,23529.41,16934.86481,488.1030739,6106.442119,
0x9db5c6b3ecfc3362cbbd67afd9aded14d1427bb8,23529.41,16819.87122,603.0966575,6106.442119,
0xd49bb1c48ed257303cde195252fe4ac92f76943c,23529.41,16965.09741,457.8704733,6106.442119,
0x6b4eaf62610827a86f99c76a1e45cce43cdbbfb0,23529.41,9061.715968,8361.251913,6106.442119,
0x38df5eab959095f4589686f4d725c7d0a7ba8f75,19607.84,11760.3718,2758.766867,5088.701333,
0x509259dcfcd51ab83ab6fa7543d67e95f7a9c557,15686.27,5175.609602,6439.699851,4070.960548,
0x541ae8c7b0811309d4971eef09ff1990335ed700,3575418.99,1652327.404,995185.2292,927906.3569,
0xb10bd8b6b618fedb4be7b22278a305600b76dff7,2793296.09,2027319.988,41049.25956,724926.8424,
0x484ae068794b05d09df57618fe2621fed3551ffa,1675977.65,1223763.234,17258.31204,434956.1044,
0x4a433343b7a7e9de555690ddd2db098c2179b45b,1117318.44,810113.2868,17234.41525,289970.738,
0x1dafe878b3c5a62bc7e347d4357a38b027b9bc63,1117318.44,813772.2004,13575.50164,289970.738,
0xc774d6373f67879bff1901897fce24101a9c2e9e,558659.22,406800.293,6873.557953,144985.369,
0x3636629a9cce55050bfab734d1e79ec596cfb815,446927.37,326393.9429,4545.133466,115988.2936,
0xfa5b9bb588785714aa8b8b0550a2829b101331c4,446927.37,323752.2029,7186.873439,115988.2936,
0xcfeee4d723f9ad3948b97d2e23232be0d90f5487,335195.53,239366.7976,8837.511522,86991.22088,
0x7a46b6fe56dec884651c62a54944ad379bb2ec03,279329.61,185324.4323,21512.49319,72492.6845,1
0x424e3ce68fa7fefad5d983ad785fdcfca21a1496,223463.69,154788.2592,10681.28271,57994.14812,
0x2874aeaa14672226db2844a959966698c660bbbb,223463.69,162125.5543,3343.987545,57994.14812,
0x68c9089f991abee672878a8156c2be827a11d68e,139664.79,99807.62345,3610.828191,36246.33836,
0x9780b281b05bde9f88033777ba8891695758a006,111731.84,79806.74274,2928.024499,28997.07276,
0x19bff5b5c59afb8d0362a3f18feb1063485be829,1176470.59,856468.0584,14680.40225,305322.1293,
0xe296b5f3ce124423e4cb4a677f2fcf6602d9d236,1176470.59,0,871148.4607,305322.1293,
0x0c5f1891581c2ab02c2caf8f7b9852e7e631992e,784313.73,571117.394,9648.248897,203548.0871,
0x966def996c023261f2a1ad3a99470710f33a27d4,588235.29,428430.6487,7143.577969,152661.0634,
0xf7f6c73ae94cc626e1dbdf13201a56cbbe206620,588235.29,428796.5015,6777.725095,152661.0634,
0x1488de93f6600d5e19dbd3d43f963ac617bb69bb,279329.61,200064.4474,6772.478104,72492.6845,
0x43318d7a76e020803e0e92c10fcb4bc5ef180ddd,784313.73,567970.9119,12794.73104,203548.0871,
0x3aa1b799d2cc42faa47788c8113f5a5d5c762819,167597.76,120514.8663,3587.28452,43495.60914,
0x8e924be221cb41cbf9f6e16fa47ed8c9364e39d0,7843137.25,365060.8738,5442595.518,2035480.858,1
0x66886b3a3dc2b44cb69b18a6b5af3a989290bdbf,941176.47,665671.7156,31247.05148,244257.7029,
0x6693a48820e7f3cb991b3b91adb18ec7a3540ad8,117647.06,54215.90789,32898.93892,30532.21319,
0x267fae9ec638957379bd9d2738e5e8ff308fa6e3,392156.86,285573.9653,4808.852483,101774.0422,
0x62e5de50ef21fc00d439e90a7679a1665e3bf337,223463.69,152396.9664,13072.57544,57994.14812,
0xc2defbf0d1ca36761311566719259e4fa8f5dc8e,279329,203493.9531,3342.520755,72492.52619,
